BSSID,Epoch,Temperature
master,1681683640,20.2646
48:27:E2:AD:85:D0,1681683641,20.6901
48:27:E2:AD:91:38,1681683641,17.0476
EC:DA:3B:0F:5C:AC,1681683641,20.2501
master,1681683641,20.2646
48:27:E2:AD:85:D0,1681683642,20.0736
48:27:E2:AD:91:38,1681683642,17.0476
EC:DA:3B:0F:5C:AC,1681683642,20.5306
master,1681683642,20.3323
48:27:E2:AD:85:D0,1681683643,20.7586
48:27:E2:AD:91:38,1681683643,17.8857
EC:DA:3B:0F:5C:AC,1681683643,20.3903
master,1681683643,20.2646
48:27:E2:AD:85:D0,1681683644,20.0736
48:27:E2:AD:91:38,1681683644,17.0476
EC:DA:3B:0F:5C:AC,1681683644,20.4604
master,1681683644,20.1969
48:27:E2:AD:85:D0,1681683645,20.0736
48:27:E2:AD:91:38,1681683645,17.0476
EC:DA:3B:0F:5C:AC,1681683645,20.3903
master,1681683645,20.0615
48:27:E2:AD:85:D0,1681683646,20.1421
48:27:E2:AD:91:38,1681683646,17.6923
EC:DA:3B:0F:5C:AC,1681683646,20.6007
master,1681683646,18.9785
48:27:E2:AD:85:D0,1681683647,20.0051
48:27:E2:AD:91:38,1681683647,17.6923
EC:DA:3B:0F:5C:AC,1681683647,20.4604
master,1681683647,20.4000
48:27:E2:AD:85:D0,1681683648,20.1421
48:27:E2:AD:91:38,1681683648,17.6278
EC:DA:3B:0F:5C:AC,1681683648,20.5306
master,1681683648,20.8738
48:27:E2:AD:85:D0,1681683649,20.0051
48:27:E2:AD:91:38,1681683649,17.8212
EC:DA:3B:0F:5C:AC,1681683649,20.3903
master,1681683649,20.4000
48:27:E2:AD:85:D0,1681683650,20.1421
48:27:E2:AD:91:38,1681683650,17.6278
EC:DA:3B:0F:5C:AC,1681683650,20.5306
master,1681683650,20.8738
48:27:E2:AD:85:D0,1681683651,20.1421
48:27:E2:AD:91:38,1681683651,17.0476
EC:DA:3B:0F:5C:AC,1681683651,20.3903
master,1681683651,20.3323
48:27:E2:AD:85:D0,1681683652,20.6901
48:27:E2:AD:91:38,1681683652,16.9832
EC:DA:3B:0F:5C:AC,1681683652,20.3903
master,1681683652,20.1969
48:27:E2:AD:85:D0,1681683653,20.0051
48:27:E2:AD:91:38,1681683653,17.0476
EC:DA:3B:0F:5C:AC,1681683653,20.3903
master,1681683653,20.3323
48:27:E2:AD:85:D0,1681683654,20.1421
48:27:E2:AD:91:38,1681683654,16.9832
EC:DA:3B:0F:5C:AC,1681683654,20.4604
master,1681683654,20.2646
48:27:E2:AD:85:D0,1681683655,20.6216
48:27:E2:AD:91:38,1681683655,17.6923
EC:DA:3B:0F:5C:AC,1681683655,19.4789
master,1681683655,20.2646
48:27:E2:AD:85:D0,1681683656,20.0736
48:27:E2:AD:91:38,1681683656,17.6278
EC:DA:3B:0F:5C:AC,1681683656,20.4604
master,1681683656,20.4000
48:27:E2:AD:85:D0,1681683657,19.9366
48:27:E2:AD:91:38,1681683657,17.6278
EC:DA:3B:0F:5C:AC,1681683657,20.4604
master,1681683657,20.4000
48:27:E2:AD:85:D0,1681683658,20.8271
48:27:E2:AD:91:38,1681683658,17.0476
EC:DA:3B:0F:5C:AC,1681683658,20.4604
master,1681683658,20.3323
48:27:E2:AD:85:D0,1681683659,20.6216
48:27:E2:AD:91:38,1681683659,17.6278
EC:DA:3B:0F:5C:AC,1681683659,20.4604
master,1681683659,20.0615
48:27:E2:AD:85:D0,1681683660,20.0736
48:27:E2:AD:91:38,1681683660,17.0476
EC:DA:3B:0F:5C:AC,1681683660,20.4604
master,1681683660,20.3323
48:27:E2:AD:85:D0,1681683661,20.0051
